id,date,weekNr,year,open,high,low,close,volume,delta,intraVolatility,scaledVolume,scaledTrend,trend,momentum,stochastic,bullishIndicators,bearishIndicators,neutralIndicators,additionalData
9ed326ed-085e-4d35-bc77-fe62a0fc5e4a,1986-03-24,12,1986,0.875,0.9375,0.859375,0.90625,4108800,3.571,0.078125,0.018,0.028,53434972.662,69.952,100,"","","","{""movingAvg"": {""5"": 0.859, ""7"": 0.864}}"
bf1d2066-32f0-4d5d-a506-afe0eebe9512,1986-03-31,13,1986,0.90625,0.9375,0.859375,0.90625,2756800,0,0.078125,0.012,0.028,53434972.662,60.861,100,"","","","{""movingAvg"": {""5"": 0.866, ""7"": 0.868}}"
6c5de689-3751-42db-badc-035fca3d23e0,1986-04-07,14,1986,0.90625,1.09375,0.890625,1.0625,4088800,17.241,0.203125,0.018,0.065,131222559.752,75.99,100,"","","","{""movingAvg"": {""5"": 0.881, ""7"": 0.873}}"
f02bf64a-a041-48e8-9ef3-bd08f43cce06,1986-04-14,15,1986,1.0625,1.140625,1.03125,1.078125,3248800,1.471,0.109375,0.014,0.067,135720427.799,82.172,100,{BullishCandle},"","","{""movingAvg"": {""5"": 0.925, ""7"": 0.9}}"
2fe83e2d-6e39-4354-9aea-9dfd6f34e950,1986-04-21,16,1986,1.078125,1.25,1.03125,1.21875,5532000,13.043,0.21875,0.024,0.097,202645762.06,86.765,100,"","","","{""movingAvg"": {""5"": 0.966, ""7"": 0.935}}"
c751da94-57b3-48e7-a67c-b531557d1f66,1986-04-28,17,1986,1.21875,1.25,1.1875,1.21875,2300000,0,0.0625,0.01,0.097,202645762.06,83.585,100,"","","","{""movingAvg"": {""5"": 1.034, ""7"": 0.989}}"
0b191a97-716b-408f-914e-23289b937826,1986-05-05,18,1986,1.21875,1.25,1.1875,1.234375,2300000,1.282,0.0625,0.01,0.098,205065126.163,83.866,100,{BullishCandle},"","","{""movingAvg"": {""5"": 1.097, ""7"": 1.038}}"
75e0c810-9a03-475d-8bd0-7454120c87b1,1986-05-12,19,1986,1.234375,1.234375,1.15625,1.203125,1352000,-2.532,0.078125,0.006,0.097,202291848.998,95.541,92.308,"",{BullishOutsideReversal},"","{""movingAvg"": {""5"": 1.163, ""7"": 1.089}}"
c3807f4c-6874-4c7f-8a0a-8c8a46195612,1986-05-19,20,1986,1.203125,1.234375,1.15625,1.21875,1272000,1.299,0.078125,0.006,0.098,203665212.53,91.555,96.154,"{BearishOutsideReversal,BullishCandle}","","","{""movingAvg"": {""5"": 1.191, ""7"": 1.132}}"
a9d88067-cd5d-4534-985b-9b347e184731,1986-05-27,21,1986,1.21875,1.25,1.1875,1.234375,1185600,1.282,0.0625,0.005,0.098,204912342.13,91.076,100,{BullishCandle},"","","{""movingAvg"": {""5"": 1.219, ""7"": 1.176}}"
770e4a46-b199-4e77-988a-b4e288f86a31,1986-06-02,22,1986,1.234375,1.28125,1.21875,1.25,3199200,1.266,0.0625,0.014,0.1,208193506.444,87.179,100,"","","","{""movingAvg"": {""5"": 1.222, ""7"": 1.201}}"
ae0fcde9-ade0-49b7-82af-d726a4a94abc,1986-06-09,23,1986,1.25,1.34375,1.25,1.28125,2338400,2.5,0.09375,0.01,0.102,212870306.444,86.793,100,"","","","{""movingAvg"": {""5"": 1.228, ""7"": 1.225}}"
5d017dbf-a905-4be9-9c3a-8f3d7d54c46d,1986-06-16,24,1986,1.25,1.28125,1.21875,1.25,1539200,-2.439,0.0625,0.007,0.1,209940270.307,76.207,92.308,"","","","{""movingAvg"": {""5"": 1.238, ""7"": 1.234}}"
c7d99af2-e4ad-4618-9cd2-fd89f8e94255,1986-06-23,25,1986,1.25,1.28125,1.234375,1.28125,1008000,2.5,0.046875,0.004,0.101,211956270.307,67.501,100,"","","","{""movingAvg"": {""5"": 1.247, ""7"": 1.239}}"
a9ccd739-afdd-4a45-ac65-c416e5ad9c37,1986-06-30,26,1986,1.28125,1.328125,1.28125,1.28125,967200,0,0.046875,0.004,0.101,211956270.307,66.644,100,"","","","{""movingAvg"": {""5"": 1.259, ""7"": 1.246}}"
f60c7581-8230-421b-96f1-66005e4e9095,1986-07-07,27,1986,1.28125,1.3125,1.28125,1.28125,1301600,0,0.03125,0.006,0.101,211956270.307,57.591,100,"","","","{""movingAvg"": {""5"": 1.269, ""7"": 1.257}}"
5c3ae46d-018a-4961-b9a8-1e9b37145cbe,1986-07-14,28,1986,1.28125,1.28125,1.25,1.28125,968000,0,0.03125,0.004,0.101,211956270.307,57.591,100,"","","","{""movingAvg"": {""5"": 1.275, ""7"": 1.266}}"
a769e8e7-7408-4872-b255-1992c5cd8578,1986-07-21,29,1986,1.28125,1.28125,1.25,1.25,598400,-2.439,0.03125,0.003,0.101,210817150.229,58.316,60,"","","","{""movingAvg"": {""5"": 1.275, ""7"": 1.272}}"
e4370eb1-ffd8-4ec1-88bb-62196ea78c16,1986-07-28,30,1986,1.25,1.375,1.25,1.375,3301600,10,0.125,0.014,0.112,237229950.229,74.703,100,{BearishOutsideReversal},"","","{""movingAvg"": {""5"": 1.275, ""7"": 1.272}}"
070bb4bd-1da7-4333-9977-c3ab091be639,1986-08-04,31,1986,1.375,1.53125,1.375,1.5,3259200,9.091,0.15625,0.014,0.121,258778595.465,82.247,100,"","","","{""movingAvg"": {""5"": 1.294, ""7"": 1.286}}"
b34cc773-dbde-4bc4-b773-ceab03ba7f8a,1986-08-11,32,1986,1.59375,1.71875,1.484375,1.484375,4727200,-1.042,0.234375,0.02,0.12,255494767.198,82.291,94.737,"","{BullishOutsideReversal,BearishCandle}","","{""movingAvg"": {""5"": 1.338, ""7"": 1.321}}"
1247f643-f006-4455-8770-a6162ea46542,1986-08-18,33,1986,1.484375,1.578125,1.390625,1.578125,2884000,6.316,0.1875,0.013,0.125,267766156.84,87.204,100,{BearishOutsideReversal},"","","{""movingAvg"": {""5"": 1.378, ""7"": 1.35}}"
4ff6b8ff-7eda-48bb-9324-1e55353d891f,1986-08-25,34,1986,1.578125,1.65625,1.5625,1.640625,3426400,3.96,0.09375,0.015,0.128,276364046.107,88.259,100,"","","","{""movingAvg"": {""5"": 1.438, ""7"": 1.393}}"
e05fe7ea-4cef-47ea-bc1e-f21126b03a0e,1986-09-02,35,1986,1.640625,1.75,1.640625,1.71875,4576800,4.762,0.109375,0.02,0.133,289648447.844,90.838,100,"","","","{""movingAvg"": {""5"": 1.516, ""7"": 1.444}}"
